x;y_myfunction;y_fromLibrary
0;1;1
0,1;0,714833333333333;0,714833333333333
0,2;0,458666666666667;0,458666666666667
0,3;0,2305;0,2305
0,4;0,0293333333333334;0,0293333333333334
0,5;-0,145833333333333;-0,145833333333333
0,6;-0,296;-0,296
0,7;-0,422166666666667;-0,422166666666667
0,8;-0,525333333333333;-0,525333333333333
0,9;-0,6065;-0,6065
1;-0,666666666666666;-0,666666666666667
1,1;-0,706833333333333;-0,706833333333333
1,2;-0,728;-0,728
1,3;-0,731166666666667;-0,731166666666667
1,4;-0,717333333333333;-0,717333333333333
1,5;-0,6875;-0,6875
1,6;-0,642666666666666;-0,642666666666667
1,7;-0,583833333333334;-0,583833333333333
1,8;-0,512;-0,512
1,9;-0,428166666666667;-0,428166666666666
2;-0,333333333333332;-0,333333333333333
2,1;-0,2285;-0,228499999999999
2,2;-0,114666666666665;-0,114666666666666
2,3;0,00716666666666876;0,00716666666666743
2,4;0,136000000000001;0,136000000000001
2,5;0,270833333333335;0,270833333333335
2,6;0,410666666666668;0,410666666666668
2,7;0,5545;0,554500000000002
2,8;0,701333333333336;0,701333333333335
2,9;0,850166666666667;0,850166666666669
3;0,999999999999999;1
3,1;1,14983333333334;1,14983333333334
3,2;1,29866666666667;1,29866666666667
3,3;1,44550000000001;1,4455
3,4;1,58933333333334;1,58933333333334
3,5;1,72916666666667;1,72916666666667
3,6;1,864;1,864
3,7;1,99283333333334;1,99283333333334
3,8;2,11466666666667;2,11466666666667
3,9;2,2285;2,2285
4;2,33333333333333;2,33333333333334
4,1;2,42816666666667;2,42816666666667
4,2;2,512;2,512
4,3;2,58383333333334;2,58383333333333
4,4;2,64266666666667;2,64266666666667
4,5;2,6875;2,6875
4,6;2,71733333333333;2,71733333333333
4,7;2,73116666666666;2,73116666666667
4,8;2,72799999999999;2,728
4,9;2,70683333333333;2,70683333333333
5;2,66666666666667;2,66666666666667
5,1;2,6065;2,6065
5,2;2,52533333333333;2,52533333333334
5,3;2,42216666666667;2,42216666666667
5,4;2,296;2,296
5,5;2,14583333333334;2,14583333333334
5,6;1,97066666666667;1,97066666666667
5,7;1,76950000000001;1,76950000000001
